STATE,SALES_MONTH,STATE_PRICE
Missouri,2023-01-01,5.41268287
New Hampshire,2025-11-01,5.43141975
Florida,2022-11-01,5.43638023
Missouri,2022-12-01,5.44041717
Oklahoma,2025-04-01,5.45388460
Oklahoma,2025-01-01,5.45953993
Oklahoma,2026-01-01,5.46211614
Puerto Rico,2023-05-01,5.47593682
Oklahoma,2024-12-01,5.48786173
Oklahoma,2025-02-01,5.49436955
Florida,2023-01-01,5.49465210
Oklahoma,2025-05-01,5.50198242
Texas,2025-07-01,5.52258621
Florida,2023-05-01,5.53151900
Oklahoma,2025-03-01,5.53653565
Florida,2023-08-01,5.54405835
Puerto Rico,2023-04-01,5.54706125
Puerto Rico,2022-11-01,5.54892061
Puerto Rico,2023-09-01,5.55270949
Missouri,2022-11-01,5.55339645
Puerto Rico,2023-03-01,5.55561011
Oklahoma,2025-12-01,5.55568852
Puerto Rico,2023-02-01,5.56845803
Louisiana,2025-04-01,5.57216839
Florida,2023-04-01,5.57628399
Puerto Rico,2023-07-01,5.58081158
Puerto Rico,2023-06-01,5.58224799
Missouri,2022-09-01,5.58282540
Louisiana,2025-03-01,5.59801661
Florida,2022-10-01,5.60491050
Oklahoma,2025-08-01,5.60768958
Florida,2025-08-01,5.61599431
Oklahoma,2025-11-01,5.62553963
Oklahoma,2024-06-01,5.63594188
Florida,2025-04-01,5.64109721
Puerto Rico,2022-12-01,5.64170376
Saskatchewan,2025-04-01,5.64317172
Oklahoma,2024-05-01,5.64618628
Oklahoma,2025-06-01,5.65242504
Oklahoma,2025-07-01,5.65403502
Missouri,2022-10-01,5.66211617
Oklahoma,2024-07-01,5.67763720
Florida,2026-02-01,5.68821321
Florida,2025-06-01,5.69508433
Oklahoma,2024-02-01,5.69528590
Texas,2026-01-01,5.70307692
Florida,2025-07-01,5.70441717
Puerto Rico,2023-08-01,5.70767824
Puerto Rico,2022-09-01,5.70783243
Texas,2025-12-01,5.71346154
Texas,2025-11-01,5.71461538
Florida,2023-09-01,5.72089033
Florida,2023-02-01,5.72196196
Arizona,2025-09-01,5.72321396
New Hampshire,2026-01-01,5.72903743
Texas,2025-03-01,5.73111111
Louisiana,2025-02-01,5.73176409
Florida,2025-03-01,5.73211959
Arizona,2025-07-01,5.73329414
Oklahoma,2023-11-01,5.73382280
Puerto Rico,2022-10-01,5.73468275
Nova Scotia,2024-08-01,5.73823944
Oklahoma,2023-12-01,5.74103743
Oklahoma,2024-01-01,5.74776413
Florida,2023-10-01,5.75406540
Oregon,2026-03-01,5.75657365
Oklahoma,2022-12-01,5.75671931
Oklahoma,2024-08-01,5.75757307
Oklahoma,2023-08-01,5.76026733
Oklahoma,2024-03-01,5.76250313
Oklahoma,2025-10-01,5.76311460
Arizona,2025-08-01,5.77943423
Oklahoma,2025-09-01,5.78063337
Florida,2025-02-01,5.78203229
Oklahoma,2023-09-01,5.78303227
Florida,2023-07-01,5.78549473
Florida,2023-06-01,5.78620603
Arizona,2025-04-01,5.78671470
Puerto Rico,2023-01-01,5.78947929
Louisiana,2025-01-01,5.79808824
Michigan,2025-11-01,5.79808990
New York,2023-11-01,5.80150804
Oklahoma,2023-03-01,5.80497386
Oklahoma,2023-02-01,5.82356608
Nova Scotia,2024-10-01,5.83100000
Nova Scotia,2024-09-01,5.83273585
Oklahoma,2024-04-01,5.83299833
Nova Scotia,2025-05-01,5.83487395
Newfoundland and Labrador,2025-06-01,5.83524017
Massachusetts,2025-09-01,5.83978319
Oklahoma,2023-06-01,5.83995073
Oklahoma,2023-04-01,5.84279242
Massachusetts,2025-11-01,5.84683413
Oklahoma,2023-05-01,5.84979455
Oklahoma,2022-11-01,5.84981831
Newfoundland and Labrador,2025-11-01,5.85061258
Massachusetts,2025-12-01,5.85180386
Louisiana,2025-06-01,5.85219048
Newfoundland and Labrador,2025-12-01,5.85754870
Oregon,2026-02-01,5.86494227
Arizona,2025-10-01,5.86663044
Louisiana,2025-05-01,5.86704835
Michigan,2025-12-01,5.87437366
Massachusetts,2026-03-01,5.88525740
Michigan,2026-01-01,5.88527240
Florida,2025-05-01,5.88930288
California,2024-02-01,5.89151811
Massachusetts,2025-10-01,5.89199799
California,2024-07-01,5.89220571
California,2024-03-01,5.89403741
California,2024-08-01,5.90019063
Oklahoma,2023-10-01,5.91027493
Florida,2024-12-01,5.91211302
California,2024-06-01,5.91617744
Michigan,2025-04-01,5.91754668
Massachusetts,2026-01-01,5.91939677
Colorado,2023-04-01,5.92376090
California,2024-11-01,5.92428544
California,2024-09-01,5.92453691
Oregon,2026-01-01,5.92780516
Newfoundland and Labrador,2025-05-01,5.93025114
California,2024-04-01,5.93076275
Arizona,2025-11-01,5.93270058
Massachusetts,2026-02-01,5.93801903
Colorado,2023-03-01,5.93966643
Texas,2025-02-01,5.94103448
California,2025-03-01,5.94637019
Arizona,2024-11-01,5.94798929
Massachusetts,2025-08-01,5.94846742
Colorado,2023-06-01,5.96169564
Oklahoma,2023-07-01,5.96275272
Ontario,2025-11-01,5.96745766
Arizona,2025-05-01,5.97769532
Florida,2024-11-01,5.98062092
Ontario,2026-03-01,5.98673549
Oregon,2025-11-01,5.99274089
New Mexico,2025-12-01,5.99385985
Oregon,2025-10-01,5.99421992
Ontario,2026-01-01,5.99728154
Ontario,2026-02-01,5.99828102
California,2024-12-01,5.99867917
Oklahoma,2022-09-01,6.00097835
Arizona,2025-06-01,6.01192077
Michigan,2026-02-01,6.01215858
Colorado,2023-07-01,6.01394210
Oregon,2025-02-01,6.01397337
Oregon,2025-12-01,6.01444605
Florida,2025-01-01,6.02493815
California,2025-01-01,6.02593954
New Mexico,2026-02-01,6.02793028
California,2024-05-01,6.02837801
Newfoundland and Labrador,2025-02-01,6.04647368
Puerto Rico,2023-10-01,6.04865338
Newfoundland and Labrador,2025-04-01,6.04909314
Arizona,2024-12-01,6.04934504
Michigan,2025-05-01,6.05965121
Colorado,2026-02-01,6.06195029
Florida,2026-03-01,6.06209999
Colorado,2026-01-01,6.06516212
Michigan,2025-10-01,6.06680483
Arizona,2024-10-01,6.07390911
Newfoundland and Labrador,2025-08-01,6.07878882
Massachusetts,2025-07-01,6.08033795
Newfoundland and Labrador,2025-10-01,6.08162679
Arizona,2025-12-01,6.08217864
Texas,2024-12-01,6.08600000
Newfoundland and Labrador,2025-09-01,6.09109546
New Mexico,2026-01-01,6.09820915
Massachusetts,2025-04-01,6.09846495
Newfoundland and Labrador,2025-03-01,6.11119241
Oregon,2025-03-01,6.11333849
Michigan,2025-02-01,6.11613561
Massachusetts,2025-05-01,6.11854404
Ontario,2025-12-01,6.12210154
Florida,2023-11-01,6.12309033
Colorado,2023-02-01,6.12396493
Michigan,2025-07-01,6.12743646
Massachusetts,2025-06-01,6.12931162
Oregon,2025-04-01,6.13330078
Michigan,2025-06-01,6.13546946
Michigan,2025-03-01,6.13779294
Arkansas,2023-11-01,6.14035902
Arizona,2026-01-01,6.14118545
Newfoundland and Labrador,2026-01-01,6.14725610
West Virginia,2022-10-01,6.14995434
Michigan,2025-09-01,6.15073357
New Hampshire,2023-08-01,6.15114391
Michigan,2026-03-01,6.15282629
Arizona,2026-02-01,6.15618088
Michigan,2025-08-01,6.15854824
Arizona,2024-09-01,6.17059196
Florida,2024-09-01,6.17310347
New Mexico,2026-03-01,6.17580237
Oregon,2025-01-01,6.18282568
New Mexico,2025-10-01,6.18329069
Newfoundland and Labrador,2025-07-01,6.19444631
Massachusetts,2025-03-01,6.20376681
Oregon,2025-05-01,6.20902402
Colorado,2026-03-01,6.21458339
California,2025-02-01,6.21746350
Florida,2024-10-01,6.22664901
Oregon,2024-05-01,6.23055587
Texas,2024-07-01,6.23842105
Colorado,2023-05-01,6.23983834
Colorado,2025-12-01,6.24337456
Massachusetts,2025-02-01,6.25016789
New Mexico,2025-11-01,6.25295263
New York,2023-12-01,6.25418388
Arizona,2025-03-01,6.25475416
New York,2024-01-01,6.25505443
Michigan,2025-01-01,6.26088209
Newfoundland and Labrador,2026-03-01,6.27522184
Arizona,2024-08-01,6.27773521
Arizona,2025-02-01,6.27923809
Texas,2025-05-01,6.29061538
Oregon,2025-08-01,6.29361323
Florida,2023-12-01,6.29522160
Michigan,2024-11-01,6.30361516
California,2024-10-01,6.30720920
Oregon,2024-12-01,6.31030462
Arkansas,2024-12-01,6.31234582
Massachusetts,2025-01-01,6.31604033
Oregon,2024-03-01,6.31781307
Ontario,2025-09-01,6.31804025
Oregon,2024-11-01,6.32704615
Oregon,2025-07-01,6.32920372
Oregon,2025-06-01,6.33174131
Ontario,2025-08-01,6.33507725
Arizona,2025-01-01,6.34267508
Oregon,2024-10-01,6.34317344
Massachusetts,2024-12-01,6.34618876
Ontario,2025-10-01,6.34812604
Newfoundland and Labrador,2026-02-01,6.34846922
Arkansas,2025-01-01,6.34869019
Oregon,2024-09-01,6.34904944
Oregon,2024-06-01,6.34999310
Hawaii,2025-09-01,6.35619970
Michigan,2024-12-01,6.36101723
Ontario,2025-06-01,6.36635041
Oregon,2024-04-01,6.37077082
Oregon,2025-09-01,6.37285789
Arizona,2026-03-01,6.37312575
Ontario,2025-07-01,6.37420368
Oregon,2023-08-01,6.37562125
Florida,2024-08-01,6.38017299
Florida,2024-04-01,6.38438128
California,2024-01-01,6.38751087
Florida,2024-01-01,6.38824118
Florida,2024-07-01,6.38842108
Oklahoma,2023-01-01,6.39376694
Arkansas,2024-01-01,6.39789319
Arkansas,2023-12-01,6.40069838
Oregon,2024-08-01,6.40108592
Oregon,2023-06-01,6.40473053
New Hampshire,2024-04-01,6.40766520
Arkansas,2024-04-01,6.40822130
Oregon,2024-02-01,6.41688233
Oregon,2024-07-01,6.41965976
Ohio,2024-03-01,6.42202008
Oregon,2023-07-01,6.44314116
Oregon,2023-04-01,6.44449027
Pennsylvania,2025-11-01,6.44601937
Arkansas,2026-03-01,6.45764996
Oregon,2023-05-01,6.45972678
Michigan,2024-07-01,6.45992900
Arkansas,2025-10-01,6.46084774
New Mexico,2025-01-01,6.46260744
Arkansas,2025-12-01,6.46477657
Oregon,2024-01-01,6.47251668
Oregon,2023-11-01,6.47276435
Arkansas,2025-11-01,6.47866069
Arkansas,2024-05-01,6.48282994
Colorado,2025-11-01,6.48544145
Manitoba,2025-04-01,6.49114394
Newfoundland and Labrador,2024-12-01,6.49231144
Arkansas,2024-02-01,6.49247631
Arkansas,2024-10-01,6.49328206
Arkansas,2025-02-01,6.49982726
Arizona,2024-07-01,6.50023002
Arkansas,2024-03-01,6.50186554
Arkansas,2023-09-01,6.50447333
New Mexico,2025-02-01,6.50772292
Florida,2024-02-01,6.50840709
Arkansas,2024-11-01,6.51383767
Oregon,2023-09-01,6.52328750
Massachusetts,2024-11-01,6.52689422
Oregon,2022-12-01,6.53516701
Ohio,2023-11-01,6.53784154
Oregon,2023-01-01,6.53889476
Pennsylvania,2025-09-01,6.53913805
Oregon,2023-12-01,6.54483435
Newfoundland and Labrador,2025-01-01,6.55121053
New Mexico,2025-04-01,6.55539435
Michigan,2024-10-01,6.55732193
Alberta,2025-04-01,6.56614318
Hawaii,2025-10-01,6.56684288
Pennsylvania,2024-11-01,6.57766609
Arizona,2024-06-01,6.57905899
British Columbia,2026-01-01,6.57963537
Arkansas,2023-08-01,6.58220032
Oregon,2023-02-01,6.59032485
