STATE,SALES_MONTH,COUNT(DISTINCT( MASTER_ID))
West Virginia,2023-06-01,57
New Jersey,2023-06-01,64
California,2023-06-01,1639
Utah,2023-06-01,18
British Columbia,2023-06-01,431
Maine,2023-06-01,237
Louisiana,2023-06-01,11
Ohio,2023-06-01,98
Nevada,2023-06-01,113
Minnesota,2023-06-01,13
Delaware,2023-06-01,12
Saskatchewan,2023-06-01,106
Newfoundland and Labrador,2023-06-01,41
Maryland,2023-06-01,100
Illinois,2023-06-01,140
Texas,2023-06-01,9
Michigan,2023-06-01,729
Iowa,2023-06-01,5
Yukon,2023-06-01,6
Pennsylvania,2023-06-01,183
Hawaii,2023-06-01,21
Missouri,2023-06-01,197
New Brunswick,2023-06-01,34
Alaska,2023-06-01,164
Nova Scotia,2023-06-01,12
Arizona,2023-06-01,165
Vermont,2023-06-01,59
Arkansas,2023-06-01,40
Virginia,2023-06-01,20
Nunavut,2023-06-01,2
Northern Mariana Islands,2023-06-01,1
Washington,2023-06-01,473
District of Columbia,2023-06-01,20
Montana,2023-06-01,354
Manitoba,2023-06-01,101
Connecticut,2023-06-01,25
Florida,2023-06-01,611
Oregon,2023-06-01,750
South Dakota,2023-06-01,48
Mississippi,2023-06-01,98
Puerto Rico,2023-06-01,273
Massachusetts,2023-06-01,342
New Hampshire,2023-06-01,7
Alberta,2023-06-01,739
Michigan,2023-07-01,741
Louisiana,2023-07-01,11
New Brunswick,2023-07-01,34
Utah,2023-07-01,18
Iowa,2023-07-01,5
Oregon,2023-07-01,749
Connecticut,2023-07-01,26
Nunavut,2023-07-01,2
Massachusetts,2023-07-01,346
Oklahoma,2023-07-01,1562
Hawaii,2023-07-01,22
Alaska,2023-07-01,163
South Dakota,2023-07-01,51
District of Columbia,2023-07-01,20
Georgia,2023-07-01,4
California,2023-07-01,1690
Puerto Rico,2023-07-01,273
Newfoundland and Labrador,2023-07-01,41
New Mexico,2023-07-01,540
Alberta,2023-07-01,735
Florida,2023-07-01,616
New Hampshire,2023-07-01,7
Colorado,2023-07-01,740
Arkansas,2023-07-01,40
Mississippi,2023-07-01,107
Manitoba,2023-07-01,101
Ontario,2023-07-01,1659
Maine,2023-07-01,231
Texas,2023-07-01,9
Rhode Island,2023-07-01,7
Maryland,2023-07-01,102
Ohio,2023-07-01,101
Washington,2023-07-01,473
South Carolina,2023-07-01,1
Nevada,2023-07-01,113
Yukon,2023-07-01,6
West Virginia,2023-07-01,57
Nova Scotia,2023-07-01,12
Delaware,2023-07-01,12
New Jersey,2023-07-01,66
Northern Mariana Islands,2023-07-01,1
Missouri,2023-07-01,198
Virginia,2023-07-01,22
Pennsylvania,2023-07-01,183
Illinois,2023-07-01,148
North Dakota,2023-07-01,8
Vermont,2023-07-01,60
Arizona,2023-07-01,167
Saskatchewan,2023-07-01,106
New York,2023-07-01,113
British Columbia,2023-07-01,432
Minnesota,2023-07-01,13
Montana,2023-07-01,368
Missouri,2023-08-01,199
Saskatchewan,2023-08-01,106
Connecticut,2023-08-01,27
Northern Mariana Islands,2023-08-01,1
Vermont,2023-08-01,62
Washington,2023-08-01,471
Nunavut,2023-08-01,2
Texas,2023-08-01,9
California,2023-08-01,1688
West Virginia,2023-08-01,57
British Columbia,2023-08-01,429
Mississippi,2023-08-01,114
Ohio,2023-08-01,108
