STATE,SALES_MONTH,TOTAL_DOLLARS
Oklahoma,2025-05-01,117818679.09
California,2025-12-01,346898708.73
Michigan,2023-06-01,262484828.09
New Jersey,2026-02-01,94911655.36
Washington,2024-04-01,89499936.24
Oklahoma,2025-11-01,102576124.69
California,2025-08-01,343409787.55
Washington,2023-05-01,72475131.43
Illinois,2025-12-01,132161108.68
California,2024-10-01,344612656.02
Washington,2022-09-01,90694799.50
Arizona,2023-12-01,118939126.35
Missouri,2025-12-01,133837944.80
Missouri,2026-01-01,126774743.64
Oklahoma,2025-10-01,107125900.24
Alberta,2023-05-01,68534728.54
New York,2024-11-01,105128565.29
British Columbia,2025-12-01,65077113.79
British Columbia,2023-09-01,60168046.54
Montana,2023-09-01,29495334.17
Mississippi,2024-06-01,9177062.85
Colorado,2026-03-01,104391229.06
Maine,2023-06-01,44279851.61
Manitoba,2024-11-01,11006646.34
Vermont,2023-03-01,8068215.91
Mississippi,2023-12-01,8534168.88
South Dakota,2024-09-01,5243420.19
Manitoba,2025-12-01,11123399.60
Saskatchewan,2022-10-01,9811926.71
Newfoundland and Labrador,2025-02-01,6867430.48
Virginia,2024-09-01,14673584.52
Delaware,2025-12-01,5398552.75
Oregon,2026-01-01,76423806.47
Ohio,2024-03-01,43080616.40
Nevada,2023-06-01,71515870.36
Nevada,2025-07-01,65314380.00
Alaska,2024-11-01,18232989.43
Alberta,2026-01-01,51890042.99
New Jersey,2025-04-01,93024217.54
Alberta,2025-03-01,58040297.44
Saskatchewan,2025-03-01,8296512.55
British Columbia,2023-10-01,70954273.69
Vermont,2025-05-01,12612832.97
Minnesota,2025-07-01,22101113.43
West Virginia,2025-09-01,7568251.80
Virginia,2025-11-01,15340860.43
Minnesota,2025-11-01,22028350.15
South Dakota,2025-12-01,6115935.93
West Virginia,2026-02-01,7395904.83
Saskatchewan,2022-11-01,9049045.44
Connecticut,2023-10-01,25036031.36
Virginia,2025-04-01,15961901.02
Delaware,2024-10-01,2689564.81
Nova Scotia,2026-01-01,3313038.77
Rhode Island,2025-01-01,7295729.02
Virginia,2025-08-01,15767598.40
Utah,2023-12-01,13808988.63
Texas,2023-08-01,883085.91
Iowa,2025-11-01,1156469.99
Texas,2024-06-01,219953.52
New Brunswick,2026-03-01,1780992.96
District of Columbia,2022-12-01,5059586.14
Nova Scotia,2023-03-01,1561084.65
Yukon,2023-08-01,1434740.17
North Dakota,2024-02-01,1465415.96
New Hampshire,2026-02-01,655183.51
Rhode Island,2023-02-01,4212376.43
North Dakota,2026-01-01,1695803.75
Nunavut,2024-04-01,1013464.44
North Carolina,2025-07-01,4677392.68
North Carolina,2024-09-01,3062024.58
Northern Mariana Islands,2023-11-01,0.00
Northern Mariana Islands,2022-11-01,0.00
Northern Mariana Islands,2022-09-01,0.00
Florida,2025-07-01,169733839.04
Michigan,2024-11-01,278249714.32
Florida,2024-04-01,160817936.40
Ontario,2024-03-01,232751994.18
Michigan,2025-04-01,272238984.86
Colorado,2024-10-01,115740451.96
Missouri,2024-09-01,118577205.85
Illinois,2023-01-01,134645434.82
Pennsylvania,2022-12-01,84710237.90
Missouri,2024-07-01,124785180.25
Massachusetts,2023-06-01,154251854.20
Oregon,2024-02-01,78394734.43
Massachusetts,2024-10-01,155270953.20
California,2024-02-01,358889449.14
Massachusetts,2024-06-01,154135859.44
Colorado,2025-10-01,110648435.41
Alberta,2024-02-01,87515050.68
Ohio,2025-07-01,94506525.92
Manitoba,2024-10-01,11837031.25
Puerto Rico,2025-01-01,15496363.02
Montana,2025-09-01,28106193.31
Missouri,2024-06-01,120700137.74
Oklahoma,2024-07-01,137067314.83
British Columbia,2025-02-01,52347296.84
Michigan,2022-11-01,204843259.87
Arkansas,2026-01-01,25211348.13
Massachusetts,2022-09-01,151352897.31
Arizona,2023-09-01,112864682.36
Puerto Rico,2023-12-01,59690204.56
Manitoba,2025-07-01,11091391.48
New York,2022-09-01,13787740.11
Minnesota,2023-02-01,4117101.29
Illinois,2026-02-01,118495436.93
Missouri,2024-04-01,121339321.92
District of Columbia,2023-03-01,4740083.89
Illinois,2024-05-01,141730015.76
Pennsylvania,2023-10-01,91414416.24
Alaska,2025-02-01,16827648.42
New Mexico,2026-02-01,42725288.26
Ohio,2024-10-01,80304964.57
Vermont,2026-02-01,11672075.68
Ohio,2022-11-01,39551882.51
Arizona,2024-12-01,108603350.22
Colorado,2025-04-01,114141454.75
Saskatchewan,2024-07-01,9128646.40
North Dakota,2024-08-01,1472759.17
South Dakota,2025-10-01,6470932.11
District of Columbia,2023-01-01,4682178.64
New Brunswick,2024-05-01,1771957.24
Connecticut,2025-01-01,23741918.18
New Hampshire,2024-02-01,740321.66
Yukon,2025-03-01,601780.30
Louisiana,2024-02-01,8174501.30
North Dakota,2022-09-01,1267895.97
Yukon,2024-02-01,609997.56
Louisiana,2023-10-01,7061293.62
Texas,2022-09-01,862728.90
Nova Scotia,2023-02-01,1388755.52
Texas,2025-06-01,250641.50
North Dakota,2025-11-01,1495005.47
