STATE,SALES_MONTH,STATE_PRICE
Manitoba,2025-10-01,4.94367878
Saskatchewan,2023-10-01,4.96775449
Saskatchewan,2025-04-01,4.97388367
Saskatchewan,2023-06-01,4.97899210
Washington,2023-01-01,4.98303853
Washington,2023-03-01,4.98769175
New Hampshire,2025-12-01,4.99472050
Washington,2022-09-01,4.99830000
Washington,2024-01-01,5.00432487
Washington,2023-07-01,5.01898143
Washington,2023-11-01,5.05172930
Texas,2025-04-01,5.05301587
Washington,2023-12-01,5.06885854
Washington,2023-09-01,5.09112461
West Virginia,2023-04-01,5.12104043
Washington,2023-08-01,5.12426842
Saskatchewan,2023-04-01,5.16567637
Washington,2023-10-01,5.17106774
Florida,2022-12-01,5.17393033
Alberta,2025-07-01,5.20725798
Saskatchewan,2023-11-01,5.22272131
Oklahoma,2024-11-01,5.23290309
Puerto Rico,2023-09-01,5.24168796
Oklahoma,2024-10-01,5.25551243
Alberta,2026-02-01,5.27761187
Washington,2024-02-01,5.28156026
Florida,2025-11-01,5.28305540
Oklahoma,2024-09-01,5.32144622
Alberta,2025-08-01,5.33530814
Oklahoma,2024-12-01,5.34658850
Puerto Rico,2023-10-01,5.35993341
Florida,2025-12-01,5.36611896
New Hampshire,2025-11-01,5.36925926
Puerto Rico,2023-08-01,5.36973016
Puerto Rico,2022-09-01,5.37028356
Florida,2022-11-01,5.39234577
Florida,2025-09-01,5.39678327
Oklahoma,2025-01-01,5.40079658
Alberta,2025-06-01,5.41611328
Nova Scotia,2024-02-01,5.41670588
Saskatchewan,2023-08-01,5.41946635
Puerto Rico,2022-11-01,5.42850307
Puerto Rico,2023-05-01,5.42926053
Oklahoma,2026-05-01,5.43032709
Puerto Rico,2023-02-01,5.46833537
Puerto Rico,2023-04-01,5.47107390
Puerto Rico,2023-03-01,5.49803795
Oklahoma,2025-04-01,5.50094033
Texas,2025-07-01,5.52258621
Oklahoma,2025-02-01,5.53176397
Alberta,2025-09-01,5.53425770
Puerto Rico,2023-06-01,5.53462692
Oklahoma,2025-03-01,5.53513488
Florida,2026-01-01,5.54265005
Puerto Rico,2022-12-01,5.54287207
Saskatchewan,2024-08-01,5.54855386
Puerto Rico,2023-07-01,5.56689358
Nova Scotia,2024-08-01,5.56821596
Oklahoma,2026-04-01,5.57447659
Florida,2025-10-01,5.59685913
Alberta,2026-01-01,5.59838589
Alberta,2025-11-01,5.60796665
Puerto Rico,2022-10-01,5.60801415
Oklahoma,2025-05-01,5.61075090
Oklahoma,2024-05-01,5.61245606
Alberta,2025-12-01,5.62654673
Saskatchewan,2023-12-01,5.62815605
Saskatchewan,2023-09-01,5.63517915
Saskatchewan,2023-02-01,5.63639743
Oklahoma,2024-06-01,5.63970905
Florida,2025-04-01,5.64597010
Florida,2023-04-01,5.65915841
Saskatchewan,2023-01-01,5.66318499
Florida,2025-06-01,5.66532497
Oregon,2026-05-01,5.66585514
Oklahoma,2024-07-01,5.67746996
Florida,2025-07-01,5.68199571
Arizona,2025-09-01,5.68339634
Florida,2025-08-01,5.69081983
Oklahoma,2024-02-01,5.69389034
Oklahoma,2026-02-01,5.69407981
Oklahoma,2022-12-01,5.70365338
Nova Scotia,2025-05-01,5.70655462
Oklahoma,2026-01-01,5.70724726
Saskatchewan,2024-09-01,5.70806824
West Virginia,2023-01-01,5.71300890
Oklahoma,2024-03-01,5.72476743
Oklahoma,2025-06-01,5.73129418
Puerto Rico,2023-01-01,5.73391042
Texas,2025-11-01,5.73576923
Arizona,2025-04-01,5.73582413
Oklahoma,2023-09-01,5.74084554
Texas,2025-12-01,5.74423077
Oklahoma,2023-11-01,5.74720280
Alberta,2025-10-01,5.74721304
Oklahoma,2025-08-01,5.74854657
Oklahoma,2024-01-01,5.75484611
Oklahoma,2025-11-01,5.75888783
Alberta,2026-03-01,5.75900605
Oklahoma,2023-12-01,5.75920790
Oklahoma,2024-08-01,5.76701016
West Virginia,2022-12-01,5.76937304
Oklahoma,2025-12-01,5.76939129
Oklahoma,2024-04-01,5.77505968
Saskatchewan,2024-10-01,5.77676757
Oklahoma,2023-08-01,5.78211846
Oklahoma,2025-07-01,5.78306274
Arizona,2024-11-01,5.79029610
Massachusetts,2026-04-01,5.79145689
Arizona,2024-12-01,5.79184409
Oklahoma,2023-03-01,5.79438664
Massachusetts,2026-05-01,5.79461669
New Hampshire,2026-01-01,5.80310160
Florida,2023-03-01,5.80765125
Michigan,2025-11-01,5.81001002
Florida,2026-02-01,5.81277100
Nova Scotia,2024-10-01,5.81910000
West Virginia,2022-10-01,5.82253001
Oklahoma,2023-02-01,5.82266083
Arizona,2025-07-01,5.82415340
