STATE,SALES_MONTH,COUNT(    DISTINCT MASTER_ID)
Arizona,2024-12-01,174
Massachusetts,2025-05-01,413
Ohio,2025-07-01,162
Nevada,2023-07-01,113
Arizona,2024-01-01,177
Oklahoma,2026-03-01,994
Alberta,2023-06-01,745
Ontario,2023-04-01,1648
Massachusetts,2024-04-01,380
Alberta,2024-02-01,739
Arizona,2023-09-01,173
Manitoba,2023-04-01,102
Montana,2025-11-01,415
Connecticut,2024-12-01,56
Alaska,2025-12-01,186
Montana,2022-09-01,352
Alaska,2024-11-01,183
Hawaii,2025-12-01,26
Arkansas,2024-11-01,41
Minnesota,2022-09-01,35
Minnesota,2024-11-01,59
Newfoundland and Labrador,2023-11-01,41
New Brunswick,2025-07-01,27
Hawaii,2023-01-01,22
Florida,2023-01-01,576
Michigan,2023-11-01,763
Illinois,2024-06-01,214
Ontario,2026-03-01,1619
Illinois,2024-12-01,241
Arkansas,2026-01-01,37
Puerto Rico,2025-03-01,281
Saskatchewan,2024-05-01,100
District of Columbia,2023-08-01,16
Manitoba,2022-09-01,101
Maryland,2023-03-01,98
Alaska,2024-04-01,171
Connecticut,2025-02-01,61
Connecticut,2023-06-01,25
Hawaii,2026-02-01,25
Louisiana,2024-01-01,25
Nova Scotia,2025-11-01,17
Delaware,2024-05-01,13
Virginia,2025-04-01,24
Utah,2025-01-01,18
Texas,2023-07-01,9
New Brunswick,2023-05-01,21
Utah,2023-07-01,18
Louisiana,2022-09-01,19
Nova Scotia,2023-02-01,12
Nova Scotia,2024-08-01,16
Nova Scotia,2026-01-01,17
North Dakota,2023-01-01,8
Texas,2023-05-01,9
New Hampshire,2023-04-01,8
North Dakota,2026-03-01,8
New Hampshire,2026-03-01,8
North Dakota,2023-09-01,8
Nunavut,2022-10-01,2
Nunavut,2025-11-01,1
North Carolina,2025-05-01,1
North Carolina,2024-10-01,1
South Carolina,2023-11-01,1
North Carolina,2025-12-01,1
North Carolina,2025-07-01,1
California,2026-01-01,1406
Oklahoma,2024-03-01,1387
California,2023-05-01,1649
Washington,2024-05-01,470
Colorado,2023-04-01,740
Michigan,2022-10-01,649
Oregon,2026-01-01,693
New Jersey,2024-10-01,200
Oregon,2024-02-01,719
New Mexico,2024-04-01,590
Maryland,2024-05-01,101
Saskatchewan,2024-09-01,100
Colorado,2024-03-01,728
Massachusetts,2024-07-01,394
New Mexico,2024-05-01,598
British Columbia,2025-03-01,434
New York,2023-12-01,154
Alberta,2023-02-01,726
Nevada,2024-12-01,116
Pennsylvania,2024-06-01,185
Maine,2024-04-01,224
Alaska,2024-10-01,182
Vermont,2024-07-01,86
Montana,2024-06-01,384
Saskatchewan,2023-02-01,105
Montana,2023-07-01,368
New York,2023-09-01,112
Arkansas,2024-08-01,41
Manitoba,2022-12-01,99
Virginia,2025-08-01,24
Puerto Rico,2025-08-01,273
Florida,2023-08-01,617
Maryland,2024-01-01,100
Alberta,2025-10-01,769
Illinois,2024-10-01,233
Ontario,2026-01-01,1615
Colorado,2023-11-01,734
Nevada,2023-02-01,110
Minnesota,2023-11-01,43
Maine,2024-08-01,228
Connecticut,2025-04-01,62
Puerto Rico,2022-09-01,230
Minnesota,2024-07-01,54
Colorado,2025-09-01,670
Oregon,2025-01-01,705
Colorado,2022-09-01,748
New Mexico,2023-03-01,489
South Dakota,2022-10-01,21
Hawaii,2022-12-01,22
West Virginia,2023-07-01,57
Minnesota,2023-08-01,40
Nova Scotia,2023-01-01,12
Connecticut,2023-11-01,34
West Virginia,2025-11-01,64
New Brunswick,2023-03-01,21
Arkansas,2025-07-01,39
Minnesota,2022-10-01,36
Texas,2022-11-01,7
New Brunswick,2023-02-01,21
Georgia,2024-08-01,5
Georgia,2023-11-01,5
Rhode Island,2024-06-01,8
North Dakota,2025-05-01,8
Louisiana,2025-03-01,34
Georgia,2024-02-01,5
Yukon,2026-03-01,5
Yukon,2022-10-01,6
New Hampshire,2025-11-01,8
Iowa,2023-01-01,5
Rhode Island,2025-07-01,8
Iowa,2025-04-01,5
Rhode Island,2025-09-01,8
Nunavut,2022-09-01,2
Nunavut,2026-01-01,1
Oklahoma,2024-10-01,1223
Oregon,2025-09-01,696
Oregon,2024-07-01,714
Ontario,2023-06-01,1655
Oklahoma,2023-12-01,1469
Washington,2026-03-01,464
Illinois,2022-11-01,115
British Columbia,2024-01-01,427
Massachusetts,2026-01-01,425
Massachusetts,2022-09-01,312
Arkansas,2024-07-01,41
Arizona,2026-02-01,175
New Jersey,2025-01-01,225
Oklahoma,2024-01-01,1450
Maine,2025-12-01,229
Missouri,2025-02-01,215
New Jersey,2026-03-01,304
New Mexico,2023-11-01,589
Newfoundland and Labrador,2025-12-01,44
Illinois,2024-02-01,189
New York,2024-12-01,347
Ohio,2024-05-01,128
Manitoba,2026-03-01,119
Maine,2025-07-01,230
Puerto Rico,2025-11-01,272
Vermont,2025-12-01,101
Virginia,2026-01-01,24
Virginia,2023-07-01,23
Virginia,2023-06-01,21
Maryland,2025-01-01,100
Massachusetts,2024-12-01,402
Oklahoma,2023-07-01,1549
Oklahoma,2022-12-01,1837
Montana,2023-05-01,357
